Job Title,Location,Company
Python Developer - Team Leader,"Alexandria, Egypt ",Softxpert Incorporation  -
Senior Python Developer (Minya),"Minya, Egypt ",OdooTec -
Python Developer,"Maadi, Cairo, Egypt ",Boca Pro  -
Data Entry (With Python Automation Experience),"Madina, Saudi Arabia ",Confidential -
Backend Engineer (Python) - EdTech Startup,"Cairo, Egypt ",Darsel -
Senior Data Engineer,"Cairo, Egypt ",Omnix International LLC -
Renewable Energy Engineer,"Cairo, Egypt ",Storlytics -- -
AI Engineer - Travel Tech,"Mohandessin, Giza, Egypt ",Rahala -
Software Engineer (AI & Data Analytics),"Maadi, Cairo, Egypt ",AlZamel for consultation -
Backend Developer (Java),"Cairo, Egypt ",Square Solutions -
Software Engineer,"Smart Village, Giza, Egypt ",Shebak -
Odoo Developer,"Damietta, Damietta, Egypt ",Smart Technology Solutions -
Automation Engineer,"Maadi, Cairo, Egypt ",Creative Motion -
Senior Odoo developer,"Giza, Egypt ",Ejad -
Senior Data Analyst,"Cairo, Egypt ",Xceed Contact Center -
